Date,Close
3/12/2019,54.9
3/13/2019,55.37
3/14/2019,56.2
3/15/2019,57.36
3/18/2019,57.36
3/19/2019,57.22
3/20/2019,57.59
3/21/2019,58.31
3/22/2019,57.46
3/25/2019,57.81
3/26/2019,58.46
3/27/2019,58.29
3/28/2019,58.28
3/29/2019,58.29
4/1/2019,57.96
4/2/2019,57.94
4/3/2019,58.17
4/4/2019,58.21
4/5/2019,57.94
4/8/2019,58.19
4/9/2019,57.96
4/10/2019,57.92
4/11/2019,57.84
4/12/2019,57.51
4/15/2019,57.52
4/16/2019,57.56
4/17/2019,57.66
4/18/2019,58.86
4/22/2019,58.75
4/23/2019,58.86
4/24/2019,58.67
4/25/2019,58.63
4/26/2019,59.26
4/29/2019,59.31
4/30/2019,60.51
